sample,R,H,v0,th(rad),det(Jy),invertible,cond(Jy),||Jy^{-1}||_2,||-Jy^{-1}Jx||_2
80,173.9536331342323,50.45198475473391,41.53724471800631,0.8593904409484326,1.0,True,1.0,1.0,101.29034955829422
81,26.35378455295581,36.95444588760359,27.35127737920388,1.3943644649923201,1.0,True,1.0,1.0,143.73431615185314
82,179.02683309431848,107.64879239038976,49.77112115663191,1.1767728807556663,1.0,True,1.0,1.0,367.2860417644042
83,20.472804991199933,4.831515169211245,14.183510594923716,0.7565926408255819,1.0,True,1.0,1.0,10.5924592130584
84,3.7459088749014446,0.6583810851434277,6.249164022362326,0.6127634212647325,1.0,True,1.0,1.0,3.466473895190293
85,2.123301305263271,4.992226384599519,9.952632342660296,1.4648639796371379,1.0,True,1.0,1.0,19.775170064447956
86,167.38894289562307,80.11726935541068,44.729764282804766,1.0894488112521266,1.0,True,1.0,1.0,247.67997671722807
87,28.818322665098012,45.98424324605422,30.403247663826306,1.4153847541561202,1.0,True,1.0,1.0,180.0070661167235
88,9.494180795967184,0.6128809363382465,13.869947846848099,0.2526937638409734,1.0,True,1.0,1.0,34.671012232497894
89,60.28824415170365,49.430197496245924,32.557462630684995,1.2748355106781435,1.0,True,1.0,1.0,181.8809586773778
90,16.921291224817782,6.263669504830429,13.377165649224263,0.9767894109289137,1.0,True,1.0,1.0,16.126123847273846
91,94.12346822440962,6.1968002483247435,43.297620629275485,0.2575012399201287,1.0,True,1.0,1.0,335.9650549734422
92,86.25505306513156,27.660651229744513,29.538595156571688,0.9086295786524847,1.0,True,1.0,1.0,61.249849372810964
93,59.610276927074956,25.695575311525733,25.956167435306536,1.0452377071641337,1.0,True,1.0,1.0,74.51641134172033
94,9.847201446049114,0.2580599397634809,21.58316490313321,0.10444425264729759,1.0,True,1.0,1.0,93.04141851796005
95,159.07956036349452,34.99462101382985,39.66554262153886,0.7216140054067915,1.0,True,1.0,1.0,89.5512489230288
96,38.85439107480102,28.26153946284493,24.899693580436473,1.2397415917779249,1.0,True,1.0,1.0,101.60108071433004
97,8.269368429954614,1.1284962880466352,9.820745562385554,0.49966546001857615,1.0,True,1.0,1.0,11.529737974365442
98,13.36840008434119,2.9760127101528906,11.490324616628342,0.7275203670868363,1.0,True,1.0,1.0,7.522685587510831
99,337.36050193717364,71.74133854353462,57.9043715502233,0.7048534902332612,1.0,True,1.0,1.0,201.35837903760066
100,262.11113843343185,36.55351738786577,54.97193798891839,0.5088366292100549,1.0,True,1.0,1.0,349.311867022361
101,75.46491215744297,92.52671171124668,43.48389235959122,1.3696532678000497,1.0,True,1.0,1.0,356.7333590274364
102,27.75151246371164,16.752432716195607,19.622847880273575,1.1781587301575716,1.0,True,1.0,1.0,57.27195044758268
103,161.04936122422765,9.924460650527045,58.304700754124816,0.2416770135141829,1.0,True,1.0,1.0,618.9453190193235
104,42.39770670502858,115.63563068760321,47.8312997181187,1.4793894654605755,1.0,True,1.0,1.0,459.14849921478367
105,98.55748653353234,94.16070848355506,44.42896040374476,1.3148612792224632,1.0,True,1.0,1.0,354.31716561688904
106,74.11110930574478,9.732529668529054,29.714882617908376,0.4836774237934139,1.0,True,1.0,1.0,108.77901136484323
107,23.95820026907894,18.381229738331516,19.973285901483745,1.255794527700707,1.0,True,1.0,1.0,66.83183377591988
108,4.915664376812976,0.2953443332715734,10.301502918442461,0.23585616016665037,1.0,True,1.0,1.0,19.452005471201876
109,53.60255261674486,150.99582456234592,54.64313180991129,1.4822798321217958,1.0,True,1.0,1.0,599.8276675414863
110,82.46816810149967,33.32297970073816,30.06769594084861,1.0167376966260082,1.0,True,1.0,1.0,92.1069975453594
111,24.224875292260567,9.329323954501112,16.129985063737667,0.9950122282861461,1.0,True,1.0,1.0,24.842778254298512
112,20.11776693385843,1.090643873494793,21.827614328285886,0.2135455397013483,1.0,True,1.0,1.0,88.99882574864819
113,61.73261597479475,65.60729730877792,36.857076291804276,1.339761367487859,1.0,True,1.0,1.0,249.83830259031166
114,5.584372353024801,0.1793380127363215,14.722503061657743,0.1277574075885675,1.0,True,1.0,1.0,42.85311710651591
115,207.44841993816084,23.379864911252994,52.11378562508065,0.4235258661198782,1.0,True,1.0,1.0,381.1217622347786
116,120.79698612543805,8.912038331780373,46.71857414093655,0.28696267252244406,1.0,True,1.0,1.0,378.5682281984548
117,144.97013736797078,85.97148921771107,44.57046257730153,1.171839109720937,1.0,True,1.0,1.0,291.96313588768754
118,56.123295634765064,5.3456030147506315,28.765117187630704,0.36401177109859745,1.0,True,1.0,1.0,129.07409163500856
119,65.45130689098468,76.00893504348929,39.50198623863437,1.3587572912363488,1.0,True,1.0,1.0,291.80073731366724
120,127.33211278333206,49.970776681574414,37.125388290200455,1.003590903812905,1.0,True,1.0,1.0,134.84109284152242
121,46.030767594800984,1.595394678661037,40.7415630855151,0.13775913176595297,1.0,True,1.0,1.0,326.46166026371594
122,1.7878658924943458,0.042521435813646466,9.6444376626939,0.09484794127035492,1.0,True,1.0,1.0,18.648295950819932
123,24.81468631462069,0.9972915367521038,27.86940711938353,0.1593945215295773,1.0,True,1.0,1.0,150.89258984193262
124,5.180327104656769,1.7485434841989136,7.288779562404086,0.9332976122544683,1.0,True,1.0,1.0,4.1681944508864985
125,70.26291351263438,46.044808834665425,32.16949505844854,1.2063461821471757,1.0,True,1.0,1.0,161.28919527600416
126,40.67862547468716,4.545747453477101,23.14236667830319,0.4203490353891064,1.0,True,1.0,1.0,75.69006229341493
127,9.581086266372791,7.811513680176095,12.94883038763258,1.2732649429647531,1.0,True,1.0,1.0,28.738265911172203
128,3.820683197376575,0.1611873406302487,10.68716322474034,0.16717732603801583,1.0,True,1.0,1.0,22.090389926369355
129,94.7183019822103,61.93641477656119,37.32045146977416,1.2056229774404543,1.0,True,1.0,1.0,216.81083141726043
130,7.7463185038285,10.174706459842056,14.382613269528736,1.3827132659167911,1.0,True,1.0,1.0,39.42626440822155
131,230.76087375468452,134.3983647194805,55.88160651072385,1.1653331623336267,1.0,True,1.0,1.0,453.5146990677479
132,118.4657337137195,53.100393176358715,36.95836268352173,1.0620269631622203,1.0,True,1.0,1.0,157.93701782468142
133,34.67224509350273,26.738539789860837,24.077839249416037,1.2573075731691923,1.0,True,1.0,1.0,97.30205782063258
134,40.532118419750326,1.4623770334944082,37.500352031477924,0.14332825268378183,1.0,True,1.0,1.0,275.7578165822842
135,2.682721669269997,0.25936668513395206,6.254212906633363,0.3690074388934172,1.0,True,1.0,1.0,6.110310382446247
136,169.74800189306035,11.366113213903963,57.72075672827949,0.2616928240068345,1.0,True,1.0,1.0,594.4336285945452
137,101.31014882871023,25.65004895452573,31.52668903185951,0.7917246191769034,1.0,True,1.0,1.0,50.73685882830722
138,182.3098350452915,96.05101237382031,48.05043749876574,1.1277453734887057,1.0,True,1.0,1.0,311.39840247451014
139,8.69113615305083,3.1497412116429073,9.55014999573412,0.9669289437533914,1.0,True,1.0,1.0,7.992750928749171
140,57.250951787943464,47.08066553638619,31.76620819609882,1.2756696671570038,1.0,True,1.0,1.0,173.32575926311102
141,59.58251271482843,4.672872278465152,31.98888468949865,0.303984683397325,1.0,True,1.0,1.0,173.85053879941853
