x1_theta,x2_theta_dot,detJ,trJ,sigma_min,sigma_max,cond2,spectral_radius_J,near_singular
-2.988344231463462,-1.2999999999999998,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.2,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.1,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-1.0,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.8999999999999999,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.7999999999999998,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.7,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.5999999999999999,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.5,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.3999999999999999,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.2999999999999998,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.19999999999999996,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,-0.09999999999999987,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,0.0,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,0.10000000000000009,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
-2.988344231463462,0.20000000000000018,-0.9882804237803485,0.0,0.9882804237803485,1.0,1.0118585534405529,0.9941229419847167,False
