x1_theta,x2_theta_dot,detJ,trJ,sigma_min,sigma_max,cond2,spectral_radius_J,FTLE_T,T_horizon,dt,near_singular
-3.141592653589793,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.3424272547272115,5.0,0.01,False
-3.141592653589793,1.1,-1.0,0.0,1.0,1.0,1.0,1.0,0.36114787676143395,5.0,0.01,False
-3.141592653589793,1.2000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,0.3655377338898838,5.0,0.01,False
-3.141592653589793,1.3000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,0.3588586239482845,5.0,0.01,False
-3.141592653589793,1.4000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,0.34792153376355683,5.0,0.01,False
-3.141592653589793,1.5,-1.0,0.0,1.0,1.0,1.0,1.0,0.3372187174356111,5.0,0.01,False
-3.141592653589793,1.6,-1.0,0.0,1.0,1.0,1.0,1.0,0.32539703847776325,5.0,0.01,False
-3.141592653589793,1.7000000000000002,-1.0,0.0,1.0,1.0,1.0,1.0,0.3100995199110774,5.0,0.01,False
-3.141592653589793,1.8000000000000003,-1.0,0.0,1.0,1.0,1.0,1.0,0.2922610377489961,5.0,0.01,False
-3.141592653589793,1.9000000000000004,-1.0,0.0,1.0,1.0,1.0,1.0,0.27630761407056276,5.0,0.01,False
-3.141592653589793,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.2684310563560826,5.0,0.01,False
-2.9845130209103035,-2.0,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.27866271009444843,5.0,0.01,False
-2.9845130209103035,-1.9,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.29175267843091957,5.0,0.01,False
-2.9845130209103035,-1.8,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.30966101573581334,5.0,0.01,False
-2.9845130209103035,-1.7,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.32676257990200797,5.0,0.01,False
-2.9845130209103035,-1.6,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.34039854216049953,5.0,0.01,False
-2.9845130209103035,-1.5,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.35173877735425646,5.0,0.01,False
-2.9845130209103035,-1.4,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.36339477099009376,5.0,0.01,False
-2.9845130209103035,-1.2999999999999998,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.37340780248745953,5.0,0.01,False
-2.9845130209103035,-1.2,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.3749057133042153,5.0,0.01,False
-2.9845130209103035,-1.1,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.36274287436459685,5.0,0.01,False
-2.9845130209103035,-1.0,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.3363281873729502,5.0,0.01,False
-2.9845130209103035,-0.8999999999999999,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.29807049062585356,5.0,0.01,False
-2.9845130209103035,-0.7999999999999998,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.2525316917826738,5.0,0.01,False
-2.9845130209103035,-0.7,-0.9876883405951377,0.0,0.9876883405951377,1.0,1.012465125788003,0.993825105637374,0.2107035648388659,5.0,0.01,False
